name,price,count,meta_category_id
Аккаунты Одноклассники | Пол (MIX). Подтверждены по SMS. Профиль заполнен.,9.26,0,5
Аккаунты Одноклассники | Пол (MIX). Подтверждены по SMS. Профиль не заполнен. Зарегистрированы с MIX ip.,9.26,0,5
Аккаунты Одноклассники | Пол (Ж). Подтверждены по SMS. Профиль не заполнен. Зарегистрированы с RU ip.,16.97,62,5
Аккаунты Одноклассники | Пол (Ж). Подтверждены по SMS. В профиле добавлена аватарка.,30.85,147,5
Аккаунты Одноклассники | Пол (М). Подтверждены по SMS. В профиле добавлена аватарка.,37.03,56,5
Аккаунты Одноклассники | Пол (Ж). Подтверждены по SMS(+7). В профиле добавлена аватарка. Зарегистрированы с RU ip.,37.03,58,5
Аккаунты Одноклассники | Год регистрации - 2022. Пол (MIX). Подтверждены по SMS. Профиль заполнен.,77.14,0,5
"Аккаунты Одноклассники | Пол (М). Подтверждены по почте@mail.ru, почта в комплекте. Профиль заполнен. Зарегистрированы с RU ip.",83.31,2,5
"Аккаунты Одноклассники | Пол (Ж). Подтверждены по почте@mail.ru, почта в комплекте. Профиль заполнен. Зарегистрированы с RU ip.",83.31,0,5
Аккаунты Одноклассники | Друзей от 5 шт. Пол (MIX). Подтверждены по SMS. Профиль заполнен.,15.43,0,5
Аккаунты Одноклассники | Друзей от 5 до 15шт. Пол (Ж). Подтверждены по SMS. Профиль заполнен.,40.73,89,5
Аккаунты Одноклассники | Друзей от 5 до 15шт. Пол (М). Подтверждены по SMS. Профиль заполнен.,44.74,122,5
Аккаунты Одноклассники | Друзей от 15шт. Пол (Ж). Подтверждены по SMS. Профиль заполнен.,44.74,0,5
Аккаунты Одноклассники | Друзей от 15 до 25шт. Пол (Ж). Подтверждены по SMS. Профиль заполнен.,45.20,95,5
Аккаунты Одноклассники | Друзей от 50 до 100шт. Пол (MIX). Подтверждены по SMS. Профиль заполнен.,49.37,0,5
Аккаунты Одноклассники | Друзей от 15 до 25шт. Пол (М). Подтверждены по SMS. Профиль заполнен.,52.45,98,5
Аккаунты Одноклассники | Друзей от 50 до 100шт. Пол (М). Подтверждены по SMS. Профиль заполнен.,54.30,0,5
Аккаунты Одноклассники | Друзей от 25 до 50шт. Пол (Ж). Подтверждены по SMS. Профиль заполнен.,59.40,51,5
Аккаунты Одноклассники | Друзей от 25 до 50шт. Пол (М). Подтверждены по SMS. Профиль заполнен.,67.88,80,5
"Аккаунты Одноклассники | Год регистрации аккаунта и групп 2018. Администратор 5 сообществ. 2900+, 3000+, 1900+, 2900+, 2300+ участников(реальные люди). Профиль частично заполнен.",7713.69,1,5
"Аккаунты Одноклассники | Год регистрации аккаунта и групп 2018. Супер модератор 5 сообществ. 3500+, 3500+, 2300+, 2700+, 2700+ участников(реальные люди). Профиль частично заполнен.",7713.69,1,5
