name,price,count,meta_category_id
Аккаунты ВКонтакте | Год регистрации 2011. Пол (MIX). Профиль не заполнен.,35.48,0,2
"Аккаунты ВКонтакте | Пол (Ж). Подтверждены по SMS. Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",35.48,0,2
Аккаунты ВКонтакте | Пол (MIX). Профиль частично заполнен.,41.65,37,2
Аккаунты ВКонтакте | Пол (Ж). Профиль частично заполнен.,50.91,24,2
Аккаунты ВКонтакте | Подтверждены по SMS. Пол (MIX). Профиль частично заполнен.,52.45,0,2
Аккаунты ВКонтакте | Пол (Ж). Профиль не заполнен.,54.00,216,2
"Аккаунты ВКонтакте | Пол (Ж). Подтверждены по SMS(+99). Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",54.00,57,2
Аккаунты ВКонтакте | Пол (Ж). Подтверждены по SMS(RU +7). Профиль не заполнен.,57.08,0,2
"Аккаунты ВКонтакте | Пол (Ж). Подтверждены по SMS(+77). Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",57.08,49,2
"Аккаунты ВКонтакте | Пол (Ж). Подтверждены по SMS(RU +7). Почта@outlook.com/hotmail.com идет в комплекте. Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",69.42,16,2
"Аккаунты ВКонтакте | Пол (М). Подтверждены по SMS(RU +7). Почта@outlook.com/hotmail.com идет в комплекте. Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",69.42,15,2
Аккаунты ВКонтакте | Пол (М). Подтверждены по SMS(RU +7). Профиль частично заполнен.,75.59,83,2
Аккаунты ВКонтакте | Пол (Ж). Подтверждены по SMS(RU +7).,75.59,17,2
"Аккаунты ВКонтакте | Друзей от 50шт. Пол (Ж). Подтверждены по SMS(RU +7). Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",46.28,0,2
"Аккаунты ВКонтакте | Друзей от 50 шт. Пол (М). Подтверждены по SMS(RU +7). Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",54.00,0,2
Аккаунты ВКонтакте | Друзей от 100шт. Пол (Ж). Подтверждены по SMS(MIX). Профиль не заполнен.,77.14,40,2
"Аккаунты ВКонтакте | Друзей от 100шт. Пол (Ж). Подтверждены по SMS(+99). Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",92.56,34,2
"Аккаунты ВКонтакте | Количество друзей 100+ (друзья и подписчики). Пол (Ж). Подтверждены по SMS(+77). Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",92.56,19,2
"Аккаунты ВКонтакте | Количество друзей 100+ (друзья и подписчики). Пол (Ж). Подтверждены по SMS(+380). Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",100.28,28,2
Аккаунты ВКонтакте | Друзей от 100шт. Пол (Ж). Подтверждены по SMS(+7). Почта идет в комплекте. Частично заполнен профиль.,107.99,34,2
Аккаунты ВКонтакте | Друзей от 100шт. Пол (М). Подтверждены по SMS(+7). Почта идет в комплекте. Частично заполнен профиль.,107.99,7,2
"Аккаунты ВКонтакте | Друзей от 100шт. Пол (Ж). Подтверждены по SMS(RU +7). Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",107.99,164,2
Аккаунты ВКонтакте | Друзей от 500шт. Пол (Ж). Подтверждены по SMS(RU +7). Частично заполнен профиль.,117.25,60,2
Аккаунты ВКонтакте | Друзей от 500шт. Пол (Ж). Подтверждены по SMS. Частично заполнен профиль.,123.42,43,2
Аккаунты ВКонтакте | Друзей от 100шт. Пол (Ж). Подтверждены по SMS(RU +7). Частично заполнен профиль.,132.68,84,2
Аккаунты ВКонтакте | Друзей от 1000шт. Пол (Ж). Подтверждены по SMS(+7). Почта идет в комплекте. Частично заполнен профиль.,154.27,16,2
Аккаунты ВКонтакте | Друзей от 500шт. Пол (Ж). Подтверждены по SMS(+7). Почта идет в комплекте. Частично заполнен профиль.,154.27,24,2
Аккаунты ВКонтакте | Друзей от 1000шт. Пол (Ж). Подтверждены по SMS(RU +7). Частично заполнен профиль.,168.16,25,2
Аккаунты ВКонтакте | Друзей от 1000шт. Пол (Ж). Подтверждены по SMS. Частично заполнен профиль.,185.13,0,2
Аккаунты ВКонтакте | Друзей от 1000шт. Пол (Ж). Подтверждены по SMS(MIX). Профиль не заполнен.,185.13,7,2
Аккаунты ВКонтакте | Друзей от 2000шт. Пол (Ж). Подтверждены по SMS(MIX). Профиль не заполнен.,215.98,38,2
Аккаунты ВКонтакте | Друзей от 500шт. Пол (М). Подтверждены по SMS. Частично заполнен профиль.,231.41,0,2
Аккаунты ВКонтакте | Количество друзей 5000+ (друзья и подписчики). Пол (Ж). Подтверждены по SMS(+7). Частично заполнен профиль.,308.55,14,2
Аккаунты ВКонтакте | Друзей от 9000шт. Пол (Ж). Подтверждены по SMS. Частично заполнен профиль.,370.26,9,2
Аккаунты ВКонтакте | Друзей 5000+. Пол (М). Подтверждены по SMS(RU +7). Частично заполнен профиль.,496.76,16,2
"Аккаунты ВКонтакте | Количество друзей 5000+ (друзья и подписчики). Пол (Ж). Подтверждены по SMS(+7). Почта идет в комплекте. Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",570.81,8,2
Аккаунты ВКонтакте | Друзей от 9000шт. Пол (М). Подтверждены по SMS. Частично заполнен профиль.,617.10,12,2
Аккаунты ВКонтакте | Друзей от 9000шт. Пол (Ж). Подтверждены по SMS(+7). Почта идет в комплекте. Частично заполнен профиль.,845.42,13,2
"Аккаунты ВКонтакте | Количество друзей 9000+ (друзья и подписчики). Пол (Ж). Подтверждены по SMS(+7). Почта идет в комплекте. Профиль заполнен: о себе, фото, записи, репосты, видео, аудио и т.д.",879.36,18,2
Аккаунты ВКонтакте | Друзей от 9000шт. Пол (Ж). Частично заполнен профиль.,1158.60,2,2
Аккаунты ВКонтакте | Друзей от 14000шт. Пол (Ж). Подтверждены по SMS(+7). Почта идет в комплекте. Частично заполнен профиль.,1697.01,2,2
Аккаунты ВКонтакте | Подписчиков от 27000шт. Пол (Ж). Подтверждены по SMS. Частично заполнен профиль.,7713.69,1,2
