name,price,count,meta_category_id
"Аккаунты IG | В комплекте почта (mail.ru, родная). Требуют подтверждения по смс. Профиль не заполнен. Зарегистрированы с MIX ip.",0.02,0,1
"Аккаунты IG | В комплекте почта(outlook.com/hotmail.com, родная). Требуют подтверждения по смс. Профиль не заполнен. Зарегистрированы с EU ip.",0.026,0,1
"Аккаунты IG | В комплекте почта(outlook.com/hotmail.com, НЕ родная). Профиль не заполнен. Зарегистрированы с MIX ip.",0.093,240,1
Аккаунты IG | В комплекте почта(родная). Аккаунты подтверждены по смс. Профиль не заполнен. Зарегистрированы с USA ip.,0.105,474,1
"Аккаунты IG | В комплекте почта(outlook.com/hotmail.com, родная). Профиль не заполнен. Зарегистрированы с MIX ip.",0.107,800,1
"Аккаунты IG | В комплекте почта(mail.ru, родная). В профиле добавлена аватарка и от 10 публикаций. Зарегистрированы с MIX ip.",0.109,0,1
"Аккаунты IG | В комплекте почта(inbox.lv, родная). Профиль не заполнен. Зарегистрированы с USA ip.",0.113,282,1
"Аккаунты IG | В комплекте почта(web.de, родная). Профиль не заполнен. Зарегистрированы с MIX ip.",0.12,0,1
Аккаунты IG | В комплекте почта(родная). Аккаунты подтверждены по смс. Профиль частично заполнен. Зарегистрированы с USA ip.,0.124,1119,1
"Аккаунты IG | В комплекте почта(rambler.ru, родная). Подтверждены по SMS. Профиль не заполнен. Зарегистрированы с MIX ip.",0.148,2261,1
"Аккаунты IG | В комплекте почта(outlook.com/hotmail.com, НЕ родная). Профиль частично заполнен. Зарегистрированы с USA ip.",0.148,0,1
"Аккаунты IG | В комплекте почта(outlook.com/hotmail.com, родная). В профиле добавлена аватарка. Зарегистрированы с MIX ip.",0.259,1345,1
"Аккаунты IG | В комплекте почта(gmail.com, родная). В профиле добавлена аватарка. Зарегистрированы с MIX ip.",0.315,135,1
"Аккаунты IG | В комплекте почта(inbox.lv, родная). В профиле добавлена аватарка и от 6 публикаций. Зарегистрированы с MIX ip.",0.37,0,1
Аккаунты IG | В комплекте почта(родная). В профиле добавлена аватарка и от 3 публикаций. Зарегистрированы с MIX ip.,0.426,0,1
"Аккаунты IG | В комплекте почта(gmail.com, родная, может требовать подтверждение по смс). Профиль не заполнен. Зарегистрированы с USA ip.",0.459,112,1
Аккаунты IG | В комплекте почта(не родная). В профиле добавлена аватарка и от 5 публикаций. Двухфакторная авторизация включена. Зарегистрированы с MIX ip.,0.463,1039,1
"Аккаунты IG | Аккаунты подтверждены по смс. В комплекте почта(gmail.com, родная, может требовать подтверждение по смс). Профиль не заполнен. Зарегистрированы с USA ip.",0.496,142,1
"Аккаунты IG | В комплекте почта(inbox.lv, родная). Аккаунты подтверждены по смс. Профиль не заполнен. Зарегистрированы с USA ip.",0.518,0,1
"Аккаунты IG | В комплекте почта ( inbox.lv, родная). В профиле добавлена аватарка и от 10 публикаций. Зарегистрированы с MIX ip.",0.648,0,1
Аккаунты IG | В комплекте почта(родная). В профиле добавлена аватарка и от 20 публикаций. Зарегистрированы с MIX ip.,0.74,5,1
"Аккаунты IG | В комплекте почта(inbox.lv, родная). В профиле добавлена аватарка и от 50 публикаций. Зарегистрированы с MIX ip.",0.777,62,1
"Аккаунты IG | В комплекте почта(inbox.lv, родная). В профиле добавлена аватарка и от 10 публикаций. Зарегистрированы с MIX ip.",0.814,0,1
"Аккаунты IG | В комплекте почта(inbox.lv, родная). В профиле добавлена аватарка и от 20 публикаций. Зарегистрированы с MIX ip.",0.814,13,1
"Аккаунты IG | В комплекте почта(outlook.com/hotmail.com, родная). Подтверждены по SMS(+1). Профиль не заполнен. Зарегистрированы с USA ip.",0.925,3,1
