name,price,count,meta_category_id
Аккаунты PlayStation | Регион и валюта аккаунтов Турция. Аккаунты пустые.,0.345,284,10
Аккаунты PlayStation | NBA 2K23 (PS4 & PS5) (PS4 & PS5) Digital Deluxe Edition.,23,0,10
Аккаунты PlayStation | Hogwarts Legacy (PS5) Standard Edition. Ru субтитры доступны.,65.55,2,10
Аккаунты PlayStation | Hogwarts Legacy (PS4 & PS5) Deluxe Edition. Ru субтитры доступны.,78.20,1,10
Аккаунты PlayStation | Call of Duty®: Modern Warfare® II (PS4 & PS5) Vault Edition. Ru язык доступен.,85.10,0,10
Аккаунты PlayStation | Atomic Heart (PS4 & PS5) Standard Edition. Ru язык доступен.,86.25,1,10
Аккаунт Brawl Stars | 42 уровень. 5077 кубка. 6 бриллиантов. 1136 золота. 12 скинов. 31 бравлеров. 6 эпических. 4 мифических. 10 сверхредкие. 8 rcell id.,17.25,1,10
Аккаунт Brawl Stars | 28 уровень. 2652 кубка. 2 бриллиантов. 3572 золота. 3 скинов. 24 бравлеров. 3 эпических. 1 мифических. 7 сверхредкие. 8 редкие. 4 хроматических. Supercell id.,23,1,10
Аккаунт Brawl Stars | 27 уровень. 2336 кубков. 1 бриллиантов. 1115 золота. 3 скинов. 23 бравлеров. 1 эпических. 2 мифических. 9 сверхредкие. 8 редкие.1 легендарный. 1 хроматических. Supercell id,23,1,10
Аккаунт Brawl Stars | 51 уровень. 4015 кубка. 20 бриллиантов.,28.75,1,10
Аккаунт Brawl Stars | 62 уровень. 7586 кубка. 30 бриллиантов. 883 золота. 13 скинов. 33 бравлеров. 4 эпических. 5 мифических. 10 сверхредкие. 7 редкие.1 легендарный. 4 хроматических. Supercell id.,34.50,0,10
Аккаунт Brawl Stars | 60 уровень. 8674 кубка. 33 бравлера. Supercell id.,34.50,0,10
"Аккаунт Brawl Stars | 179 уровень. 10220 кубков. 157 бриллиантов. 3000 золота, 23000 звездных очков. 8 скинов. 36 бравлеров. 10 эпических. 2 мифических. 10 сверхредкие. 9 редкие.2 легендарный. 3 хроматических(честер). Клуб на 500к кубков. Supercell id",40.25,1,10
Аккаунт Brawl Stars | 111 уровень. 15340 кубков. 26 бриллиантов. 38563 золота. 12 скинов. 40 бравлеров.,46,0,10
"Аккаунт Brawl Stars | 60 уровень. 8223 кубка. 94 бриллианта. Открыт 1 сезон brawl pass. 37 бравлеров. 5 Хроматических, 2 Легендарных. Supercell id.",57.50,0,10
Аккаунт Brawl Stars | 271 уровень. 30000 кубка. 239 бриллиантов. 75000 золота. 40 скинов. 62 бравлеров. Supercell id.,113.85,0,10
Аккаунт Brawl Stars | 272 уровень. 40000 кубка. 280 бриллиантов. 80000 золота. 50 скинов. 74 бравлеров. Supercell id.,126.50,1,10
Аккаунт Black Desert mobile | (EU) Delphe. Якша 95 уровень. 40800+ БС.,0.01,0,10
Аккаунт Call of Duty Mobile | Год регистрации 5.2021. 150 уровень. Все оружие открыто. Открыто более 10 персонажей. Страна регистрации Индия.,115,0,10
Аккаунт Call of Duty Mobile | Год регистрации 5.2021. 150 уровень. Все оружие открыто. Открыто более 10 персонажей. Страна регистрации Иран.,115,0,10,CURредкие. 2 хроматических.Supercell id,13.80,1,10
Аккаунт Brawl Stars | 32 уровень. 3310 кубка. 10 бриллиантов. 1461 золота. 6 скинов. 22 бравлеров. 2 эпических. 1 мифических. 7 сверхредкие. 8 редкие. 3 хроматических. Supercell id.,17,25,1
"Аккаунт Call of Duty Mobile | Год регистрации 2020. 299 уровень. Все оружие открыто, 1 легендарное оружие, 60 редких видов оружия, 192 эпических вида оружия, 33 редких и 14 эпических скинов.",115,0,10
"Аккаунты Clash Royale | 32 уровень. 4700 кубков. 14 арена. 1300+ гемов. 100000 золота. 96/109 карт, 15 легендарных. Supercell id.",6.90,0,10
"Аккаунты Clash Royale | 32 уровень. 3400 кубков. 11 арена. 400+ гемов. 55000 золота. 91/109 карт, 13 легендарных. Supercell id.",17.25,0,10
"Аккаунты Clash Royale | 38 уровень. 5700+ кубков. 16 арена. 1500+ гемов. 330000+ золота. 104/109 карт (9 макс уровень), 13 легендарных. Supercell id.",17.25,0,10
"Аккаунты Clash of Clans | TH13, уровень 148. Уровень героев 46/50/21/6. Гемов 300+. Кубков 3200+. Supercell id.",13.80,0,10
"Аккаунты Clash of Clans | TH9, уровень 81. Уровень героев 15/14. Гемов 500+. Кубков 3200+. Supercell id.",17.25,0,10
"Аккаунты Clash of Clans | TH13, уровень 173. Уровень героев 68/58/36/11. Гемов 2900+. Supercell id.",115,1,10
"Аккаунты Discord | Год регистрации - 08.2022. Подтверждены по SMS. Подтверждены по почте@outlook.com/@hotmail.com, почта требует подтверждения по смс. Токен в комплекте. Профиль частично заполнен. Зарегистрированы с MIX ip.",0.01,0,10
"Аккаунты Discord | Подтверждены по почте@outlook.com/@hotmail.com, почта требует подтверждения по смс. В профиль аккаунтов добавлена аватарка. Токен в комплекте. Зарегистрированы с RU ip.",0.037,0,10
